㐷	horse; knight
京	capital city of a country
亭	pavilion
亮	bright; light
亲	parent
亵	obscene
亶	sincere
亸	hang down
亹	resolute
人	person; people
亻	"person" radical in Chinese characters
亿	100 million
什	ten
仁	humane
仂	surplus
仄	tilt
仅	barely
仆	servant
仇	hatred
今	now
介	introduce
仍	still; yet
从	from; through; via
仑	arrange
仓	barn
仔	young
仕	serve as an official
他	he; him; his
仗	weaponry
付	pay
仙	immortal
仟	thousand
仡	strong
代	generation; dynasty; age; period; era; eon
令	order
以	use
仨	three
仪	apparatus
们	plural marker for pronouns, and nouns referring to individuals
仰	face upward
仲	second month of a season
仳	part
仵	equal
件	item
价	price
任	assign
份	classifier for gifts, newspaper, magazine, papers, reports, contracts etc
仿	imitate
伀	restless
企	company; firm; enterprise; corporation
伈	nervous
伉	spouse
伊	third person singular pronoun
伋	unreal
伍	squad of five soldiers
伎	artistry
伏	lean over
伐	cut down
休	rest
众	crowd; multitude
优	excellent
伙	meals
会	a moment
伛	hunchbacked
伞	umbrella
伟	big
传	pass on
伢	child
伣	like
伤	injure
伥	ghost of sb devoured by a tiger who helps the tiger devour others
伦	human relationship
伧	low fellow
伪	false
伫	stand for a long time
伭	cruel; ruthless
伯	one hundred
估	estimate
伲	my
伴	accompany
伶	actor; actress
伸	stretch
伹	clumsy and dumb
伺	watch
伻	cause
似	seem
伽	used to transliterate Sanskrit "gha"
伾	multitudinous
佃	cultivate
但	but; yet; however; still
佌	petty
位	position
低	low
住	live; to reside; to stay
佐	assist
佑	bless; to protect
体	body
何	what
佗	carry on the back
余	I; me
佚	lost
佛	head ornament
作	worker
佞	flatter
你	you
佡	light
佢	he, she, it
佣	hire
佤	Wa ethnic group
佥	all
佧	ancient name for an ethnic group in China
佩	respect
佪	irresolute
佬	male
佯	feign
佰	hundred
佳	beautiful
佴	assistant
佶	difficult to pronounce
佷	act contrary to
佸	meet
佹	perverse; unreasonable
佺	immortal
佻	frivolous
佼	handsome
佽	nimble
佾	row of dancers at sacrifices
使	make
侀	shape
侁	large crowd
侂	entrust
侃	upright and honest
侄	brother's son; nephew
侅	give
侇	class; category
侈	extravagant
侉	foreign accent
例	example
侍	serve
侏	dwarf
侐	still
侑	urge sb
侔	similar
侗	ignorant
侘	boast
侚	quick
供	lay
侜	conceal
依	depend on
侠	knight-errant
侣	companion
侥	by mere luck
侦	scout
侧	the side
侨	emigrant
侩	broker
侪	a class
侬	you
侮	insult
侯	nobleman; high official
侵	invade
侹	level and straight
便	plain
促	close by; pressed against
俄	Russia
俅	ornamental cap
俊	cool
俍	be good at; to be expert in
俎	a stand for food at sacrifice
俏	good-looking
俑	wooden figures buried with the dead
俗	custom
俘	take prisoner
俚	rustic
俛	exhort
保	Bulgaria
俞	yes
俟	wait for
信	letter
俣	big
俦	comrades
俨	majestic
俩	two
俪	paired; coupled
俭	frugal; thrifty
修	decorate
俯	look down
俱	be alike
俳	comic performance; jesting
俴	short
俵	distribute
俶	begin
俷	violate
俸	salary; stipend
俺	I; me; my
俾	cause
倃	malign
倅	auxiliary
倌	keeper of domestic animals
倍	-fold
倏	sudden
倒	change
倓	quiet
倔	gruff; surly
倘	if; supposing; in case
候	wait
倚	lean on
倝	dawn
倞	strong
借	borrow
倡	initiate
倢	handsome
倥	urgent
倦	tired; weary; fatigued
倨	haughty; arrogant
倩	pretty
倪	small child
倬	noticeable
倭	dwarf
倷	you
债	debt
倻	used to represent phonetic "ya" in Korean names
值	value
倾	overturn
偃	lie supine
假	fake
偈	forceful
偌	so
偎	cuddle
偏	lean
偓	constrained
偕	in company with
做	make; to produce
停	stop
偝	disobey
偟	free time; leisure
偡	orderly
偢	stare at
健	healthy
偨	uneven
偩	rely on
偫	wait for
偬	busy
偭	transgress
偯	sob
偰	contract
偱	tell
偲	learned; erudite
偶	accidental
偷	steal
偻	crookbacked
偾	instigate
偿	repay
傀	grand
傅	instructor
傍	near
傎	inversion
傒	wait
傔	servant
傜	Yao tribe
傞	uneven
傣	Dai ethnic group
傤	load
傧	best man
储	store up; to keep in reserve
傩	exorcise demons
催	urge
傮	finish, to go around
傲	proud
傺	detain
傻	foolish
傿	fraudulent price
僄	light
僇	despise
働	labor; work
僎	collect
像	resemble
僔	congregate
僖	cautious
僚	bureaucrat
僜	Deng ethnic minority of Tibet
僝	revile; to abuse
僣	overstep one's authority
僦	rent; to hire; to lease
僧	Buddhist monk
僩	courageous
僭	overstep one's authority
僮	servant boy
僯	ashamed
僰	name of an ethnic group
僵	rigid
僻	remote
僾	indistinct
僿	small, minute
儃	indecisive
儅	stop
儆	warn
儇	ingenious
儊	rough and rugged
儋	carry
儌	by mere luck
儒	scholar
儓	servant
儜	weak
儤	on night duty
儦	walking to and fro
儩	the end
儭	assist
儱	rude
儳	irregular
儹	accumulate, to hoard, to store up
儽	lazy
儿	child
兀	rising to a height; towering
允	just
元	Yuan dynasty
兄	elder brother
充	sufficient; full
兆	omen
先	beforehand; first; earlier
光	light; ray
克	subdue
免	excuse sb
兑	cash
兔	rabbit
兕	animal cited in ancient texts, resembling a buffalo
党	party
兜	pocket
兟	advance
兢	be fearful
入	enter; to go into
全	all
八	eight
公	public
六	six
兰	orchid
共	common
关	mountain pass
兴	rise
兵	soldiers
其	his
具	tool
典	canon
兹	this
养	raise
兼	double
兽	beast
冀	hope for
冁	smilingly
冃	hat
内	inside
円	yen
冇	not have
冈	ridge
冉	edge of a tortoiseshell
册	book
再	again; once more; re-
冏	bright
冒	emit; to give off; to send out
冓	inner rooms of palace
冔	cap of Yin dynasty
冕	imperial crown
冗	extraneous
冘	go forward
写	write
军	army
农	agriculture
冞	deep
冠	hat
冢	mound
冤	injustice
冥	dark
冧	topple
冬	winter
冯	gallop
冰	ice
冱	congealed
冲	powerful
决	decide
况	moreover
冶	smelt
冷	cold
冻	freeze
冽	cold and raw
净	clean
凄	sad
凅	dried up
准	allow
凇	icicle
凉	cool
凊	cold; cool; chilly
凋	withered
凌	approach
减	lower
凑	move close to
凓	cold
凔	cold
凛	cold
凝	congeal
凞	bright
几	almost
凡	ordinary
凤	phoenix
凫	mallard
凭	lean against
凯	triumphal music
凳	bench
凵	receptacle
凶	vicious
凸	stick out; protruding; convex; male
凹	concave; depressed; sunken; indented; female
出	go out; to come out
击	hit
凼	pool
函	envelope
凿	chisel
刀	dollar
刁	artful
刃	edge of blade
分	part
切	definitely; absolutely
刈	mow
刊	print
刌	cut off; to sever
刍	mow or cut grass
刎	cut across
刑	punishment
划	row
刓	trim
刖	amputate one or both feet
列	arrange
刘	a type of battle-ax
则	but; then
刚	hard; firm; strong
创	a wound; to wound
刜	chop
初	at first; initially
删	delete
刡	scrape; to pare
判	differentiate; to distinguish
刨	dig
利	sharp
别	leave; to part
刭	cut the throat
刮	blow
到	reach; to arrive
刲	cut open and clean
刳	cut open
刵	cutting off the ears as punishment
制	system
刷	select
券	bond
刹	brake
刺	thorn
刻	quarter
刽	amputate
刿	cut
剁	chop up
剂	classifier for a dose of medicine
剃	shave
剅	small channel across a river embankment
削	pare
剋	scold
剌	perverse
前	front
剐	cut off the flesh as punishment
剑	double-edged sword
剒	cut
剔	scrape the meat from bones
剕	amputation of limbs as corporal punishment
剖	cut open
剚	erect
剜	scoop out
剟	prick
剡	sharp
剥	peel
剧	theatrical work
剩	remain
剪	scissors or similar tool
副	secondary
割	cut
剳	hook
剸	slash
剺	mark
剽	rob
剿	destroy
劀	scrape away decayed flesh or pus
劁	neuter livestock
劄	prick with a needle
劈	hack
劐	slit with a knife
劓	cut off the nose
劖	bore
劘	whittle
劙	a divide, to partition
力	power
劝	advise
办	office
功	meritorious deed or service
加	add
务	affair
劢	put forth effort
劣	inferior
劦	cooperate
动	move
助	help
努	exert
劫	rob
劬	labor
劭	stimulate to effort
劮	leisurely
励	encourage
劲	strength
劳	toil; labor
劻	zealous
劼	careful
劾	impeach
势	power
勃	flourishing
勇	brave
勉	exhort
勋	meritorious accomplishment
勍	violent
勐	meng
勒	strap tightly
勖	exhort
勗	exhort
勘	investigate
勚	toilsome
募	canvass for contributions; to collect; to raise; to recruit; to enlist
勠	join
勤	solicitous; attentive
勯	exhausted
勰	harmonious
勷	haste
勺	spoon
勾	attract
勿	do not
匀	even
包	cover
匆	hurried
匈	Hungary
匉	noise of waters
匋	pottery
匏	bottle gourd
匑	bow
匕	dagger
化	make into
北	north
匙	spoon
匜	washbasin with a tubular handle
匝	whole; full
匠	craftsman
匡	rectify
匣	box
匦	small box
匪	bandit
匮	lack
匴	bamboo utensil used for washing rice in ancient times
匸	"cover" or "conceal" radical in Chinese characters
匹	matching; comparable to
区	area
医	medical
匽	bend
匾	shallow round woven bamboo basket
匿	hide
十	ten
卂	fly rapidly
千	thousand
卄	twenty, twentieth
卅	thirty
卆	die
升	ascend; to rise
午	ancient Chinese compass point: 180°
卉	plants
半	half
卌	forty
卍	swastika, a sacred and auspicious symbol in Hinduism, Buddhism, and Jainism
华	flower
协	cooperate
卐	swastika, a sacred and auspicious symbol in Hinduism, Buddhism, and Jainism, later adopted by Nazi Germany
卑	low
卒	soldier
卓	outstanding
单	bill
卖	sell
南	south
博	blog
卜	divine
卝	two bunches of hair on a child
卞	hurried
占	observe
卡	stop
卢	rice vessel
卣	wine container
卤	alkaline soil
卦	divinatory diagram
卧	lie
卨	phonetic seol used in Korean names
卩	"seal" radical in Chinese characters
卫	guard
卬	me
卮	goblet
卯	mortise
印	print
危	danger
即	namely
却	but
卵	egg; ovum; spawn
卷	scroll
卸	unload; to remove; to detach; to get rid of
卺	nuptial wine cup
卼	uncomfortable
卽	promptly
卿	high ranking official
厂	factory
厄	distressed
厅	hall
历	calendar
厉	strict
压	press
厌	loathe; to be fed up with
厎	whetstone
厐	enormous
厔	river bent
厕	restroom; toilet; lavatory
厖	huge
厘	one hundredth
厚	thick
厜	a mountain peak
厝	lay in place
厞	hide
原	Hara
厢	box
厣	operculum
厥	faint
厦	tall building; mansion
厨	kitchen
厩	stable
厪	hut
厮	together; each other
厹	spear
去	go
厾	tap lightly
县	county
叁	three
参	ginseng
叆	misty
又	again
叉	fork
及	and
友	friend
双	two
反	contrary
发	hair
叒	obedient
叔	uncle
叕	join together
取	take
受	receive
变	change
叙	narrate
叛	betray
叟	old gentleman
叠	pile up
口	mouth
古	ancient
句	sentence
另	other
叨	garrulous
叩	knock
只	only; merely; just
叫	shout
召	call together
叭	denote a sound or sharp noise
叮	sting or bite
可	can; may; able to; -able
台	you
叱	scold
史	history
右	right; right-hand side
叵	not
叶	leaf
号	wail; to howl
司	take charge of
叹	sigh
叼	hold with one's mouth
叽	grumble
吁	sh
吃	eat; to consume
各	each
吆	shout
合	close
吉	lucky
吊	suspend
吋	inch
同	like
名	name
后	back
吏	minor government official or functionary
吐	spit
向	towards
吒	used for the sound "zha" in the names of certain legendary figures
吓	scare
吔	onomat. for surprise, amazement and sigh
吕	pitchpipe, pitch standard, one of the twelve semitones in the traditional tone system
吗	what?
君	monarch
吝	stingy
吞	swallow
吟	chant; to recite
吠	bark
吡	used as phonetic bi- or pi-
吣	vomit
否	negate
吧	bar
吨	ton
吪	move
含	keep in the mouth
听	smile
吭	utter
吮	suck
启	open
吰	clang
吱	creaking or groaning
吴	area comprising southern Jiangsu, northern Zhejiang and Shanghai
吵	noisy; loud
吸	breathe
吹	blow
吻	kiss
吼	roar
吽	roar or howl of an animal
吾	I; my
呀	ah
呃	hiccup
呆	foolish; stupid
呇	star
呈	present to a superior
告	say; to tell
呎	foot
呏	gallon
呐	battle cry
呒	perplexed
呓	talk in one's sleep
呔	hey!
呕	vomit
呖	sound of splitting
呗	chant
员	member
呙	lopsided
呛	choke
呜	for humming or whimpering
呠	spurt
呡	the corners of the mouth
呢	dense wool fabric
呣	um
呦	Oh!
呧	vex
周	week
呫	drink
呬	rest
呯	bang!
呰	slander
呲	scold; to rebuke
味	taste
呴	breathe on
呵	scold
呶	pout
呷	sip; to drink
呸	pah!
呺	voice of anger
呻	recite; to chant; to intone
呼	call
命	life
呿	yawn
咀	chew
咁	so
咂	sip
咄	tut!
咅	pooh
咆	roar
咇	fragrant
咈	oppose
咋	bite; to gnaw
和	harmonious
咍	happy
咎	fault
咏	sing
咑	da!
咒	incantation
咔	click; snap; crack
咕	for the sound of a bird, an empty stomach etc
咖	coffee; café
咚	boom
咛	enjoin
咝	hiss
咠	whisper
咡	space between mouth and ears
咢	beat a drum
咣	bang
咥	gnaw
咦	expression of surprise
咧	draw back the corners of one's mouth
咨	consult; to seek advice; to take counsel
咩	the bleating of sheep
咪	sound for calling a cat
咫	8 in. length unit of Zhou dynasty
咬	bite
咮	beak of bird
咯	cough up
咱	I or me
咳	cough
咴	neigh
咷	wail
咸	all
咹	eh?
咺	glorious
咻	call out
咽	choke
咾	a noise
咿	squeak
哀	sorrow; grief; pity
品	fret
哂	smile
哃	talk nonsense
哄	tumult
哇	Wow!
哈	ha!
哋	plural for pronouns
响	echo
哎	hey!
哏	funny
哐	crash; bang; clang
哑	dud
哒	command to a horse
哓	a cry of alarm
哕	puke
哗	bang
哙	hey
哜	sip
哝	mutter; to mumble
哞	moo
哟	Oh!
哢	sing or chirp
哤	jargon
哥	elder brother
哦	oh
哧	giggling
哨	a whistle
哩	mile
哪	how
哫	cajole
哭	cry; to weep
哮	pant
哲	wise
哺	eat
哼	groan
哽	choke with emotion
哿	excellent
唁	extend condolences
唂	bird call
唅	put in the mouth
唆	incite; to instigate
唇	lip
唈	palpitation
唉	sigh
唊	talk recklessly
唎	sound
唏	sound of sobbing
唐	exaggerate
唑	azole
唔	oh
唛	mark
唞	take a rest
唠	gossip
唡	ounce
唤	call
唧	pump
唪	recite
唫	stutter
唬	a tiger's roar
售	sell; to retail
唯	yes
唰	swishing
唱	sing
唲	forced laughter
唳	cry of a crane or wild goose
唵	oh!
唶	sigh
唷	Oh!
唹	smile at
唼	speak evil
唾	saliva
唿	whistle
啀	growl
啁	twittering of birds
啃	gnaw
啄	peck
啅	chirp
商	commerce
啊	Eh?
啍	move slowly
啎	obstinate, disobedient, intractable
啐	spit
啕	wail
啖	eat
啜	drink
啤	beer
啦	chat
啧	click one's tongue
啪	bang
啬	stingy
啭	sing
啮	gnaw
啯	sound of swallowing
啱	correct
啲	some
啵	bubble
啶	idine
啸	whistle
啻	only
啼	cry; to weep loudly
啽	speak
啾	wailing of child
喀	sound of coughing or vomiting
喁	stick its mouth out of the water
喂	hey
喃	mumble in repetition
善	good
喇	sound of wind, rain etc
喈	harmonious
喉	throat
喊	yell
喌	syllable
喏	yes
喑	mute
喓	grasshopper chirp
喔	oh; I see
喘	gasp
喙	beak
喜	be fond of
喝	drink
喟	sigh
喣	breathe upon
喤	sobbing
喦	talkative
喧	clamor
喭	condole with
喱	grain
喳	chirp, twitter, etc
喵	meow
喷	strong
喺	be at, in or on
喻	describe sth as
喼	box
喽	subordinates in a gang of bandits
喿	chirping of birds
嗀	vomit
嗃	scold with severity
嗄	hoarse
嗅	smell
嗈	choke
嗉	the crop of a bird
嗌	the throat
嗍	suck
嗐	exclamation of regret
嗑	crack between one's teeth
嗓	throat
嗔	be angry at
嗕	ancient tribe of northern China
嗖	whooshing
嗙	boast
嗛	pouch
嗜	have a strong liking for; to be addicted to
嗝	hiccup
嗞	sizzle, hiss, slurp etc
嗟	sigh
嗡	buzz
嗣	succession
嗤	laugh at
嗥	howl
嗦	suck
嗨	oh alas
嗫	move the mouth as in speaking
嗬	oh!
嗯	what?
嗲	coy
嗳	belch
嗵	thump
嗷	loud clamor
嗹	chattering
嗻	aye aye!
嗽	cough
嗾	urge on
嗿	sound of many people eating
嘀	sound of dripping water, a ticking clock etc
嘁	whispering sound
嘂	ancient musical instrument similar to ocarina
嘅	possessive particle
嘈	bustling
嘉	excellent
嘌	fast
嘎	cackling sound
嘏	far
嘐	boastful
嘒	shrill sound
嘘	exhale slowly
嘚	for the sound of horsehoofs
嘛	what?
嘟	toot; honk; beep
嘡	clang
嘢	thing
嘣	thump
嘤	calling of birds
嘥	waste
嘧	as in pyrimidine
嘬	gnaw
嘭	bang
嘱	enjoin
嘲	ridicule
嘴	mouth
嘶	hiss
嘻	laugh
嘿	hey
噀	spurt out of the mouth
噂	talk together
噇	eat or drink extravagantly
噌	scold
噍	chew
噎	choke
噏	gossip
噔	thud; thump
噗	pop
噘	pout
噙	hold in
噜	grumble
噞	the movement of a fish's mouth at the surface of the water
噢	oh; ah
噤	unable to speak
器	device
噩	startling
噪	chirp
噫	yeah
噬	devour
噭	shout
噱	loud laughter
噳	herd
噶	phonetic ga
噷	interjection expressing disagreement, reproach or dissatisfaction
噼	child's buttocks
嚃	drink; to swallow
嚄	oh!
嚅	chattering
嚆	sound
嚎	howl
嚏	sneeze
嚓	scraping sound
嚗	a cry of rage
嚚	insincere
嚝	sigh
嚣	clamor
嚭	great
嚯	sound of a laugh
嚵	gluttonous
嚷	shout
嚼	chew
囊	sack
囍	double happiness
囔	muttering, indistinct speech
囗	enclosure
囚	prisoner
四	four
囝	child
回	curve
囟	fontanel
因	cause
囡	child
团	round
囤	bin for grain
囥	hide
囧	light, bright
园	land used for growing plants
囮	decoy
困	trap
囱	chimney
围	encircle
囷	granary
固	hard
国	country; nation; state
图	diagram
囿	park
圂	grain-fed animals
圃	garden
圄	prison
圆	circle
圈	confine
圉	horse stable
圊	restroom
圌	name of a mountain
圕	library
圛	mist rolling upwards
圜	circle
土	earth
圢	flat
圣	peerless
在	exist; to be alive
圩	dike
圬	plaster
圭	sundial
圮	destroyed
圯	bridge, bank
地	-ly
圱	a field of three li
圳	drainage ditch between fields
圹	tomb
场	stage
圻	boundary
址	site; location
坆	plum
均	equal; uniform; even
坊	lane
坋	dust
坍	collapse
坎	pit
坏	bad
坐	sit
坑	pit; hollow; depression
坒	adjoin
块	lump; chunk; piece
坚	strong
坛	altar
坜	hole, pit
坝	dam
坞	small castle; fort
坟	grave
坠	fall
坡	slope
坤	female principle
坦	flat
坨	mound; heap; lump
坩	crucible
坪	a plain
坫	stand for goblets
坯	adobe; mud brick
坰	environs
坱	dust
坲	rise in the air
坳	depression; cavity; hollow
坴	a clod of earth
坻	islet
坼	crack
坽	precipitous cliff
垂	hang
垄	ridge between fields
垆	clay
型	mold
垌	field
垍	hard earth
垎	dry and hard
垏	earth ridge between fields
垒	rampart
垓	boundary
垔	restrain
垕	thick
垗	sacrifice
垙	footpath separating fields
垚	embankment
垛	pile
垝	dilapidated; collapsed; damaged
垞	mound
垟	clay sheep buried with the dead
垠	limit
垡	turn the soil
垢	dirt
垣	wall
垤	anthill
垦	reclaim
垧	unit of land area
垩	whitewash
垫	pad
垭	strip of land between hills
垮	collapse
垱	earthen dyke in a river or rice paddy
垲	dry terrain
垴	small hill
垺	extremely large
垾	small dike
埂	strip of high ground
埃	dust
埄	landmark used during the Song Dynasty
埆	barren
埇	raised path
埋	bury
埌	wasteland
城	city walls
埏	boundary
埒	equal
埕	earthen jar
埗	wharf
埘	hen roost
埙	ocarina
埚	crucible
埝	dike around a paddy field
域	field
埠	wharf; pier; port town
埤	low wall
埧	diked pond
埫	flat land
埭	dam
埯	dibble
埲	classifier for walls
埴	soil with large clay content
埵	solid earth
埶	skill
埸	border
培	bank up with earth
基	base; foundation
埼	headland
埽	dike
堀	cave
堂	hall
堄	parapet
堆	pile up
堇	clay
堈	earthen jug, crock, cistern
堉	fertile soil
堋	target in archery
堌	place name
堍	side of bridge
堎	mound
堑	moat; chasm
堕	fall; to sink
堙	bury
堞	battlements
堠	mounds for beacons
堡	village
堤	dike
堧	adjoin
堨	dam
堪	may; can
堭	a dry moat outside a city wall
堮	a boundary
堰	weir
堲	hate
堳	low wall
堵	block up
堽	mound
塂	hill
塃	newly-mined ore
塄	elevated bank around a field
塅	large area of flat terrain
塆	col
塈	plaster
塌	collapse
塍	raised path between fields
塑	model in clay
塓	plaster
塔	pagoda ; tower; pylon
塕	flying dust
塘	dyke
塙	truly
塝	the edge
塞	block; to obstruct
塥	dry clay lump
填	fill or stuff
塱	raised bank
塽	elevated sunlit ground
塾	private school
墀	courtyard
墁	plaster
境	border
墅	villa
墈	cliff
墉	fortified wall
墐	bury
墒	plowed earth
墓	grave
墘	beside
墙	wall
墝	stony soil
增	increase; to augment; to add to
墟	ruins
墦	a grave
墨	ink stick
墩	block
墺	building-plot
墼	unfired brick
壁	wall
壅	obstruct
壆	mounded row of soil
壎	ancient porcelain wind-instrument
壑	gully
壒	dust
壔	column
壕	moat
壖	land on water edge or under wall
壝	mound
壤	soil; earth
士	scholar
壬	ninth in order
壮	strengthen
声	sound
壳	shell
壴	drum
壶	pot
壸	palace corridor
壹	one
夂	"walk slowly" component in Chinese characters
处	reside
夆	butt
备	prepare; to equip
夌	dawdle
复	repeat
夏	summer
夒	a kind of gibbon
夔	Chinese rain god
夕	sunset; dusk
外	outside
夗	turn over when asleep
夙	morning
多	many; much; more; a lot of
夜	night
够	enough
夤	late at night
夥	many; numerous
大	big; large; great
天	day
太	highest
夫	husband
夬	decisive
夭	die prematurely
央	center
夯	ram; to tamp
失	lose
头	head
夷	raze
夸	boast; to exaggerate
夹	press from either side
夺	seize
夼	low ground
奁	bridal trousseau
奂	excellent
奄	castrate
奇	odd
奈	used for its phonetic value in writing foreign words
奉	offer
奋	exert oneself
奎	crotch
奏	play music
契	carve
奓	open
奔	hurry
奕	abundant
奖	prize; award; bonus; reward
套	cover
奘	fat
奚	what?
奜	big
奠	fix
奡	haughty
奢	extravagant
奣	clear and cloudless sky
奥	Austria
奫	deep and broad
奭	majestic; magnificent
奰	anger
女	female
奴	slave
奶	breast
奸	wicked
她	she
好	good
妁	matchmaker
如	as
妃	imperial concubine
妄	absurd
妆	adorn oneself
妇	woman
妈	ma
妊	pregnant
妍	beautiful
妒	envy
妓	prostitute
妖	goblin
妗	wife of mother's brother
妙	clever
妚	embryo
妞	girl
妣	deceased mother
妥	suitable
妨	hinder
妪	old woman
妫	name of a river
妭	beautiful woman
妮	girl
妲	female personal name
妵	beautiful
妹	younger sister
妺	wife of the last ruler of the Xia dynasty
妻	wife
妾	concubine
姁	chatter like old woman
姅	menstruation
姆	female tutor
姈	intelligent
姊	older sister
始	begin
姐	older sister
姑	paternal aunt
姒	elder sister
姓	family name; surname
委	entrust
姘	be a mistress or lover
姚	handsome
姜	ginger
姝	pretty woman
姣	cunning
姤	copulate
姥	grandma
姨	mother's sister
姬	woman
姮	feminine name
姱	fascinating
姶	wonderful
姸	beautiful
姹	beautiful
姺	name of an ancient state
姻	marriage connections
姽	quiet and nice
姿	beauty
娀	name of an ancient state
威	power
娃	baby
娅	term of address between husbands of sisters
娆	graceful
娇	lovable
娈	beautiful
娘	mother
娜	elegant
娟	beautiful
娠	pregnant
娣	wife of a younger brother
娥	good
娩	complaisant
娭	granny
娱	amuse
娴	elegant
娶	take a wife
娸	ridicule
娼	prostitute
婀	graceful
婆	grandmother
婉	graceful
婊	prostitute
婐	maid
婚	marriage; wedding
婞	upright
婢	slave girl
婧	slender; delicate
婪	avaricious
婬	obscene, licentious, lewd
婳	tranquil
婴	infant
婶	wife of father's younger brother
婷	graceful
婹	svelte
婺	beautiful
婼	recalcitrant
婽	good
婿	son-in-law
媁	ugly
媄	beautiful
媅	content
媊	planet Venus in the morning
媒	medium
媚	flatter
媛	beautiful woman
媞	used as phonetic
媟	lust for
媠	beautiful
媢	envious
媪	old woman
媬	governess
媭	elder sister
媮	improper
媲	match
媳	daughter-in-law
媵	concubine
媸	ugly woman
媺	beautiful
媻	move
媾	marry
嫁	marry
嫂	older brother's wife; sister-in-law
嫄	name of an empress
嫈	attentively
嫉	jealousy
嫌	dislike
嫐	tease; to play around with
嫑	don't; must not
嫔	imperial concubine
嫕	compliant
嫖	visit a prostitute
嫙	beautiful
嫚	girl
嫜	husband's father
嫠	widow
嫡	of or by the wife, as opposed to a concubine
嫣	lovely; sweet
嫩	young and tender
嫪	longing
嫫	ugly woman
嫬	old character used in female names
嫭	beautiful
嫱	female court officials
嫽	good
嬅	beautiful
嬉	amuse oneself; to play; to have fun
嬎	lay eggs
嬔	baby rabbit
嬖	favorite
嬗	go through successive changes; to evolve
嬬	weak
嬲	tease
嬿	lovely
孀	widow
孅	cunning
子	son
孑	lonely; all alone
孔	hole
孕	pregnant
孖	twins
字	letter
存	exist
孙	grandson
孚	trust
孛	comet
孝	filial piety or obedience
孟	first month of a season
孢	spore
季	season
孤	lone
孥	child
学	learn
孨	cautious
孩	child
孪	twins
孭	carry on the back or shoulders
孰	who
孱	weak; feeble
孳	industrious
孵	breeding
孺	child
孽	son born of a concubine
宁	peaceful
它	it
宄	traitor
宅	residence
宇	room
守	guard
安	calm; peaceful
宋	the Song dynasty
完	finish
